Start of debug log: Wed, 27 Nov 2024 15:16:13 GMT
[Wed, 27 Nov 2024 22:30:49 GMT] Added song (EIT8x1IXbuo).

[Wed, 27 Nov 2024 22:44:34 GMT] Cleared the queue for bot (1310116919403216997).

[Wed, 27 Nov 2024 22:46:57 GMT] Created buffer file (./src/archive/-BqMtpoRdb0-temp_audio.pcm) for song (-BqMtpoRdb0).

[Wed, 27 Nov 2024 22:46:57 GMT] Created buffer file (./src/archive/-h0qDBw69qw-temp_audio.pcm) for song (-h0qDBw69qw).

[Wed, 27 Nov 2024 22:47:01 GMT] Created buffer file (./src/temp/-BqMtpoRdb0-temp_audio.pcm) for song (-BqMtpoRdb0).

[Wed, 27 Nov 2024 22:47:01 GMT] Audio is now buffering!

[Wed, 27 Nov 2024 22:47:01 GMT] Audio is now playing!

[Wed, 27 Nov 2024 22:49:38 GMT] Removed temp audio file (./src/temp/-BqMtpoRdb0-temp_audio.pcm)

[Wed, 27 Nov 2024 22:49:41 GMT] Created buffer file (./src/temp/-h0qDBw69qw-temp_audio.pcm) for song (-h0qDBw69qw).

[Wed, 27 Nov 2024 22:49:41 GMT] Audio is now buffering!

[Wed, 27 Nov 2024 22:49:41 GMT] Audio is now playing!

[Wed, 27 Nov 2024 22:49:44 GMT] Created buffer file (./src/archive/EIT8x1IXbuo-temp_audio.pcm) for song (EIT8x1IXbuo).

[Wed, 27 Nov 2024 22:52:07 GMT] Removed temp audio file (./src/temp/-h0qDBw69qw-temp_audio.pcm)

[Wed, 27 Nov 2024 22:52:10 GMT] Created buffer file (./src/temp/EIT8x1IXbuo-temp_audio.pcm) for song (EIT8x1IXbuo).

[Wed, 27 Nov 2024 22:52:10 GMT] Audio is now buffering!

[Wed, 27 Nov 2024 22:52:10 GMT] Audio is now playing!

[Wed, 27 Nov 2024 22:52:13 GMT] Created buffer file (./src/archive/HfWaxr7pTsk-temp_audio.pcm) for song (HfWaxr7pTsk).

[Wed, 27 Nov 2024 22:53:13 GMT] Removed temp audio file (./src/temp/EIT8x1IXbuo-temp_audio.pcm)

[Wed, 27 Nov 2024 22:53:16 GMT] Created buffer file (./src/temp/HfWaxr7pTsk-temp_audio.pcm) for song (HfWaxr7pTsk).

[Wed, 27 Nov 2024 22:53:16 GMT] Audio is now buffering!

[Wed, 27 Nov 2024 22:53:16 GMT] Audio is now playing!

[Wed, 27 Nov 2024 22:53:20 GMT] Created buffer file (./src/archive/Lr0lktJJvh8-temp_audio.pcm) for song (Lr0lktJJvh8).

[Wed, 27 Nov 2024 22:55:10 GMT] Removed temp audio file (./src/temp/HfWaxr7pTsk-temp_audio.pcm)

[Wed, 27 Nov 2024 22:55:13 GMT] Created buffer file (./src/temp/Lr0lktJJvh8-temp_audio.pcm) for song (Lr0lktJJvh8).

[Wed, 27 Nov 2024 22:55:13 GMT] Audio is now buffering!

[Wed, 27 Nov 2024 22:55:13 GMT] Audio is now playing!

[Wed, 27 Nov 2024 22:55:17 GMT] Created buffer file (./src/archive/QC_NH5p_lC8-temp_audio.pcm) for song (QC_NH5p_lC8).

[Wed, 27 Nov 2024 22:58:16 GMT] Removed temp audio file (./src/temp/Lr0lktJJvh8-temp_audio.pcm)

[Wed, 27 Nov 2024 22:58:20 GMT] Created buffer file (./src/temp/QC_NH5p_lC8-temp_audio.pcm) for song (QC_NH5p_lC8).

[Wed, 27 Nov 2024 22:58:20 GMT] Audio is now buffering!

[Wed, 27 Nov 2024 22:58:20 GMT] Audio is now playing!

[Wed, 27 Nov 2024 22:58:23 GMT] Created buffer file (./src/archive/UiNpyDPhb7U-temp_audio.pcm) for song (UiNpyDPhb7U).

[Wed, 27 Nov 2024 23:00:33 GMT] Removed temp audio file (./src/temp/QC_NH5p_lC8-temp_audio.pcm)

[Wed, 27 Nov 2024 23:00:36 GMT] Created buffer file (./src/temp/UiNpyDPhb7U-temp_audio.pcm) for song (UiNpyDPhb7U).

[Wed, 27 Nov 2024 23:00:36 GMT] Audio is now buffering!

[Wed, 27 Nov 2024 23:00:36 GMT] Audio is now playing!

[Wed, 27 Nov 2024 23:00:40 GMT] Created buffer file (./src/archive/ZhWyTvrBVLs-temp_audio.pcm) for song (ZhWyTvrBVLs).

[Wed, 27 Nov 2024 23:02:51 GMT] Removed temp audio file (./src/temp/UiNpyDPhb7U-temp_audio.pcm)

[Wed, 27 Nov 2024 23:02:55 GMT] Created buffer file (./src/temp/ZhWyTvrBVLs-temp_audio.pcm) for song (ZhWyTvrBVLs).

[Wed, 27 Nov 2024 23:02:55 GMT] Audio is now buffering!

[Wed, 27 Nov 2024 23:02:55 GMT] Audio is now playing!

[Wed, 27 Nov 2024 23:02:58 GMT] Created buffer file (./src/archive/bCk72-ccQvU-temp_audio.pcm) for song (bCk72-ccQvU).

[Wed, 27 Nov 2024 23:04:27 GMT] Removed temp audio file (./src/temp/ZhWyTvrBVLs-temp_audio.pcm)

[Wed, 27 Nov 2024 23:04:30 GMT] Created buffer file (./src/temp/bCk72-ccQvU-temp_audio.pcm) for song (bCk72-ccQvU).

