Start of debug log: Mon, 25 Nov 2024 11:28:27 GMT
Format: [Timestamp] Message

[Tue, 26 Nov 2024 01:50:36 GMT] Created new queue for bot (1310116919403216997).

[Tue, 26 Nov 2024 01:54:08 GMT] Created new queue for bot (1310116919403216997).

[Tue, 26 Nov 2024 01:56:16 GMT] Created new queue for bot (1310116919403216997).

[Tue, 26 Nov 2024 01:57:20 GMT] Created new queue for bot (1310116919403216997).

[Tue, 26 Nov 2024 01:57:27 GMT] Created buffer file (./src/temp/2fS4qnOyyDY-temp_audio.pcm) for song (2fS4qnOyyDY).

[Tue, 26 Nov 2024 01:57:27 GMT] Audio is now buffering!

[Tue, 26 Nov 2024 01:57:27 GMT] Audio is now playing!

[Tue, 26 Nov 2024 01:58:49 GMT] Audio has finished playing.

[Tue, 26 Nov 2024 02:00:20 GMT] Created new queue for bot (1310116919403216997).

[Tue, 26 Nov 2024 02:00:26 GMT] Created buffer file (./src/temp/2fS4qnOyyDY-temp_audio.pcm) for song (2fS4qnOyyDY).

[Tue, 26 Nov 2024 02:00:28 GMT] Audio is now buffering!

[Tue, 26 Nov 2024 02:00:28 GMT] Audio is now playing!

[Tue, 26 Nov 2024 02:00:36 GMT] Added song (A7nywWRDElM).

[Tue, 26 Nov 2024 02:00:41 GMT] Created buffer file (./src/temp/A7nywWRDElM-temp_audio.pcm) for song (A7nywWRDElM).

[Tue, 26 Nov 2024 02:01:03 GMT] Added song (FfzOjO6TdKY).

[Tue, 26 Nov 2024 02:01:49 GMT] Audio has finished playing.

[Tue, 26 Nov 2024 02:01:49 GMT] Removed temp audio file (./src/temp/2fS4qnOyyDY-temp_audio.pcm)

[Tue, 26 Nov 2024 02:01:53 GMT] Audio is now buffering!

[Tue, 26 Nov 2024 02:01:53 GMT] Audio is now playing!

[Tue, 26 Nov 2024 02:01:58 GMT] Created buffer file (./src/temp/A7nywWRDElM-temp_audio.pcm) for song (A7nywWRDElM).

[Tue, 26 Nov 2024 02:03:38 GMT] Audio has finished playing.

[Tue, 26 Nov 2024 02:03:38 GMT] Removed temp audio file (./src/temp/A7nywWRDElM-temp_audio.pcm)

[Tue, 26 Nov 2024 02:03:42 GMT] Created buffer file (./src/temp/A7nywWRDElM-temp_audio.pcm) for song (A7nywWRDElM).

[Tue, 26 Nov 2024 02:03:42 GMT] Audio is now buffering!

[Tue, 26 Nov 2024 02:03:42 GMT] Audio is now playing!

[Tue, 26 Nov 2024 02:03:47 GMT] Created buffer file (./src/temp/A7nywWRDElM-temp_audio.pcm) for song (A7nywWRDElM).

[Tue, 26 Nov 2024 02:05:26 GMT] Audio has finished playing.

[Tue, 26 Nov 2024 02:05:26 GMT] Removed temp audio file (./src/temp/A7nywWRDElM-temp_audio.pcm)

