Start of debug log: Mon, 20 Jan 2025 20:39:10 GMT
Format: [Timestamp] Message

[Mon, 20 Jan 2025 20:39:10 GMT] Cleared temp folder (./src/temp).

[Mon, 20 Jan 2025 20:42:57 GMT] Creating buffer file for song (29WAdrzHSJo).

[Mon, 20 Jan 2025 20:43:13 GMT] Created audio stream for song (29WAdrzHSJo).

[Mon, 20 Jan 2025 20:43:13 GMT] Audio is now buffering!

[Mon, 20 Jan 2025 20:43:13 GMT] Audio is now playing!

[Mon, 20 Jan 2025 20:43:37 GMT] Removed temp audio file (./src/temp/29WAdrzHSJo-temp_audio.mp3)

[Mon, 20 Jan 2025 20:43:37 GMT] Created audio stream for song (LiwvETSBoPA).

[Mon, 20 Jan 2025 20:43:37 GMT] Audio is now buffering!

[Mon, 20 Jan 2025 20:43:37 GMT] Audio is now playing!

[Mon, 20 Jan 2025 20:45:38 GMT] Cleared temp folder (./src/temp).

[Mon, 20 Jan 2025 20:45:51 GMT] Cleared the queue for bot (1310116919403216997).

[Mon, 20 Jan 2025 20:46:41 GMT] Creating buffer file for song (29WAdrzHSJo).

[Mon, 20 Jan 2025 20:46:58 GMT] Created audio stream for song (29WAdrzHSJo).

[Mon, 20 Jan 2025 20:46:58 GMT] Audio is now buffering!

[Mon, 20 Jan 2025 20:46:58 GMT] Audio is now playing!

[Mon, 20 Jan 2025 20:47:51 GMT] Removed temp audio file (./src/temp/29WAdrzHSJo-temp_audio.mp3)

[Mon, 20 Jan 2025 20:47:51 GMT] Created audio stream for song (LiwvETSBoPA).

[Mon, 20 Jan 2025 20:47:51 GMT] Audio is now buffering!

[Mon, 20 Jan 2025 20:47:51 GMT] Audio is now playing!

[Mon, 20 Jan 2025 20:51:37 GMT] Audio has finished playing.

[Mon, 20 Jan 2025 20:54:43 GMT] Creating buffer file for song (-ybnOHBNZyA).

[Mon, 20 Jan 2025 20:54:43 GMT] Creating buffer file for song (2Pzkh0qr48Y).

