Start of debug log: Tue, 26 Nov 2024 06:04:50 GMT
[Tue, 26 Nov 2024 07:47:15 GMT] Audio is now playing!

[Tue, 26 Nov 2024 07:47:18 GMT] Created buffer file (./src/temp/uAmgPYMY3o8-temp_audio.pcm) for song (uAmgPYMY3o8).

[Tue, 26 Nov 2024 07:48:19 GMT] Removed temp audio file (./src/temp/HfO2mSE878c-temp_audio.pcm)

[Tue, 26 Nov 2024 07:48:22 GMT] Audio is now buffering!

[Tue, 26 Nov 2024 07:48:22 GMT] Audio is now playing!

[Tue, 26 Nov 2024 07:48:25 GMT] Created buffer file (./src/temp/wKKX5phpRo4-temp_audio.pcm) for song (wKKX5phpRo4).

[Tue, 26 Nov 2024 07:50:47 GMT] Removed temp audio file (./src/temp/uAmgPYMY3o8-temp_audio.pcm)

[Tue, 26 Nov 2024 07:50:50 GMT] Audio is now buffering!

[Tue, 26 Nov 2024 07:50:50 GMT] Audio is now playing!

[Tue, 26 Nov 2024 07:50:53 GMT] Created buffer file (./src/temp/7GIWV__qx4M-temp_audio.pcm) for song (7GIWV__qx4M).

[Tue, 26 Nov 2024 07:52:41 GMT] Cleared temp folder (./src/temp).

[Tue, 26 Nov 2024 07:55:28 GMT] Created new queue for bot (1310116919403216997).

[Tue, 26 Nov 2024 07:55:37 GMT] Created buffer file (./src/temp/wKKX5phpRo4-temp_audio.pcm) for song (wKKX5phpRo4).

[Tue, 26 Nov 2024 07:55:37 GMT] Audio is now buffering!

[Tue, 26 Nov 2024 07:55:37 GMT] Audio is now playing!

[Tue, 26 Nov 2024 07:55:40 GMT] Created buffer file (./src/temp/nW0_o4aXsfk-temp_audio.pcm) for song (nW0_o4aXsfk).

[Tue, 26 Nov 2024 07:56:12 GMT] Cleared temp folder (./src/temp).

[Tue, 26 Nov 2024 11:24:46 GMT] Created archive folder (./src/archive).

[Tue, 26 Nov 2024 12:13:15 GMT] Added song (zrQDw58pY-w).

[Tue, 26 Nov 2024 12:13:19 GMT] Created buffer file (./src/archive/SP-5z4vmar50qPl80GjIrPBXm-temp_audio.pcm) for song (SP-5z4vmar50qPl80GjIrPBXm).

[Tue, 26 Nov 2024 12:13:22 GMT] Audio is now buffering!

[Tue, 26 Nov 2024 12:13:22 GMT] Audio is now playing!

[Tue, 26 Nov 2024 12:20:51 GMT] Created buffer file (./src/archive/zrQDw58pY-w-temp_audio.pcm) for song (zrQDw58pY-w).

[Tue, 26 Nov 2024 12:20:54 GMT] Audio is now buffering!

[Tue, 26 Nov 2024 12:20:54 GMT] Audio is now playing!

[Tue, 26 Nov 2024 12:20:55 GMT] Added song (IqumzRK3eb8).

[Tue, 26 Nov 2024 12:21:10 GMT] Audio is now buffering!

[Tue, 26 Nov 2024 12:21:10 GMT] Audio is now playing!

[Tue, 26 Nov 2024 12:21:11 GMT] Added song (-vBq4vVU7Es).

[Tue, 26 Nov 2024 12:21:16 GMT] Created buffer file (./src/archive/-vBq4vVU7Es-temp_audio.pcm) for song (-vBq4vVU7Es).

[Tue, 26 Nov 2024 12:23:04 GMT] Added song (lvw6GCXHlt4).

[Tue, 26 Nov 2024 12:23:07 GMT] Created buffer file (./src/archive/lvw6GCXHlt4-temp_audio.pcm) for song (lvw6GCXHlt4).

[Tue, 26 Nov 2024 12:23:10 GMT] Audio is now buffering!

[Tue, 26 Nov 2024 12:23:10 GMT] Audio is now playing!

[Tue, 26 Nov 2024 12:23:11 GMT] Added song (SQ4iFrNa0Zk).

[Tue, 26 Nov 2024 12:23:14 GMT] Created buffer file (./src/archive/SQ4iFrNa0Zk-temp_audio.pcm) for song (SQ4iFrNa0Zk).

[Tue, 26 Nov 2024 12:24:44 GMT] Created new queue for bot (1310116919403216997).

[Tue, 26 Nov 2024 12:24:54 GMT] Added song (qtGxAlhjbSA).

[Tue, 26 Nov 2024 12:24:58 GMT] Created buffer file (./src/archive/qtGxAlhjbSA-temp_audio.pcm) for song (qtGxAlhjbSA).

[Tue, 26 Nov 2024 12:25:01 GMT] Audio is now buffering!

[Tue, 26 Nov 2024 12:25:01 GMT] Audio is now playing!

[Tue, 26 Nov 2024 12:25:02 GMT] Added song (2Gow_mzRTO4).

[Tue, 26 Nov 2024 12:25:07 GMT] Created buffer file (./src/archive/2Gow_mzRTO4-temp_audio.pcm) for song (2Gow_mzRTO4).

[Tue, 26 Nov 2024 12:26:47 GMT] Audio is now buffering!

[Tue, 26 Nov 2024 12:26:47 GMT] Audio is now playing!

[Tue, 26 Nov 2024 12:26:49 GMT] Added song (WPiEbYSF9kE).

[Tue, 26 Nov 2024 12:26:53 GMT] Created buffer file (./src/archive/WPiEbYSF9kE-temp_audio.pcm) for song (WPiEbYSF9kE).

[Tue, 26 Nov 2024 12:31:11 GMT] Audio is now buffering!

[Tue, 26 Nov 2024 12:31:11 GMT] Audio is now playing!

[Tue, 26 Nov 2024 12:31:13 GMT] Added song (h_xgZtLjhPg).

[Tue, 26 Nov 2024 12:31:17 GMT] Created buffer file (./src/archive/h_xgZtLjhPg-temp_audio.pcm) for song (h_xgZtLjhPg).

[Tue, 26 Nov 2024 12:33:46 GMT] Added song (fYRIBocQoq8).

[Tue, 26 Nov 2024 12:33:49 GMT] Created buffer file (./src/archive/fYRIBocQoq8-temp_audio.pcm) for song (fYRIBocQoq8).

[Tue, 26 Nov 2024 12:33:50 GMT] Created buffer file (./src/archive/fYRIBocQoq8-temp_audio.pcm) for song (fYRIBocQoq8).

[Tue, 26 Nov 2024 12:33:53 GMT] Audio is now buffering!

[Tue, 26 Nov 2024 12:33:53 GMT] Audio is now playing!

[Tue, 26 Nov 2024 12:35:47 GMT] Added song (FfzOjO6TdKY).

[Tue, 26 Nov 2024 12:35:51 GMT] Created buffer file (./src/archive/FfzOjO6TdKY-temp_audio.pcm) for song (FfzOjO6TdKY).

[Tue, 26 Nov 2024 12:35:51 GMT] Created buffer file (./src/archive/FfzOjO6TdKY-temp_audio.pcm) for song (FfzOjO6TdKY).

[Tue, 26 Nov 2024 12:35:54 GMT] Audio is now buffering!

[Tue, 26 Nov 2024 12:35:54 GMT] Audio is now playing!

[Tue, 26 Nov 2024 12:36:44 GMT] Updated volume for guild (1221985499158286366): 40% -> 10%

[Tue, 26 Nov 2024 12:37:30 GMT] Added song (kF7_yxSK9Uc).

[Tue, 26 Nov 2024 12:37:33 GMT] Created buffer file (./src/archive/kF7_yxSK9Uc-temp_audio.pcm) for song (kF7_yxSK9Uc).

[Tue, 26 Nov 2024 12:37:33 GMT] Created buffer file (./src/archive/kF7_yxSK9Uc-temp_audio.pcm) for song (kF7_yxSK9Uc).

[Tue, 26 Nov 2024 12:37:33 GMT] Audio is now buffering!

[Tue, 26 Nov 2024 12:37:33 GMT] Audio is now playing!

[Tue, 26 Nov 2024 12:37:36 GMT] Audio is now buffering!

[Tue, 26 Nov 2024 12:43:53 GMT] Added song (LjkDor2LenI).

[Tue, 26 Nov 2024 12:43:57 GMT] Created buffer file (./src/archive/LjkDor2LenI-temp_audio.pcm) for song (LjkDor2LenI).

[Tue, 26 Nov 2024 12:43:57 GMT] Created buffer file (./src/archive/LjkDor2LenI-temp_audio.pcm) for song (LjkDor2LenI).

[Tue, 26 Nov 2024 12:44:01 GMT] Audio is now buffering!

[Tue, 26 Nov 2024 12:44:01 GMT] Audio is now playing!

[Tue, 26 Nov 2024 12:57:19 GMT] Audio is now buffering!

[Tue, 26 Nov 2024 12:57:19 GMT] Audio is now playing!

[Tue, 26 Nov 2024 12:58:08 GMT] Audio is now buffering!

[Tue, 26 Nov 2024 12:58:08 GMT] Audio is now playing!

[Tue, 26 Nov 2024 12:58:36 GMT] Updated volume for guild (1221985499158286366): 10% -> 70%

[Tue, 26 Nov 2024 12:59:04 GMT] Audio is now buffering!

[Tue, 26 Nov 2024 12:59:04 GMT] Audio is now playing!

[Tue, 26 Nov 2024 13:00:24 GMT] Audio is now buffering!

[Tue, 26 Nov 2024 13:00:24 GMT] Audio is now playing!

[Tue, 26 Nov 2024 13:01:32 GMT] Audio is now buffering!

[Tue, 26 Nov 2024 13:01:32 GMT] Audio is now playing!

[Tue, 26 Nov 2024 13:04:40 GMT] Audio has finished playing.

[Tue, 26 Nov 2024 14:07:45 GMT] Created buffer file (./src/temp/LjkDor2LenI-temp_audio.pcm) for song (LjkDor2LenI).

[Tue, 26 Nov 2024 14:07:45 GMT] Audio is now buffering!

[Tue, 26 Nov 2024 14:07:45 GMT] Audio is now playing!

[Tue, 26 Nov 2024 14:08:51 GMT] Updated volume for guild (1221985499158286366): 70% -> 10%

[Tue, 26 Nov 2024 14:09:06 GMT] Added song (2f_WdJeBEDg).

[Tue, 26 Nov 2024 14:10:42 GMT] Cleared temp folder (./src/temp).

[Tue, 26 Nov 2024 14:11:10 GMT] Created buffer file (./src/temp/LjkDor2LenI-temp_audio.pcm) for song (LjkDor2LenI).

[Tue, 26 Nov 2024 14:11:10 GMT] Audio is now buffering!

[Tue, 26 Nov 2024 14:11:10 GMT] Audio is now playing!

[Tue, 26 Nov 2024 14:11:35 GMT] Added song (PbiWPUxGygs).

[Tue, 26 Nov 2024 14:11:38 GMT] Created buffer file (./src/archive/PbiWPUxGygs-temp_audio.pcm) for song (PbiWPUxGygs).

[Tue, 26 Nov 2024 14:11:50 GMT] Updated volume for guild (1221985499158286366): 10% -> 70%

[Tue, 26 Nov 2024 14:12:07 GMT] Audio has finished playing.

[Tue, 26 Nov 2024 14:13:55 GMT] Cleared temp folder (./src/temp).

[Tue, 26 Nov 2024 14:14:02 GMT] Created buffer file (./src/temp/PbiWPUxGygs-temp_audio.pcm) for song (PbiWPUxGygs).

[Tue, 26 Nov 2024 14:14:03 GMT] Audio is now buffering!

[Tue, 26 Nov 2024 14:14:03 GMT] Audio is now playing!

[Tue, 26 Nov 2024 14:14:20 GMT] Added song (tbhxSeaiMiU).

[Tue, 26 Nov 2024 14:14:24 GMT] Created buffer file (./src/archive/tbhxSeaiMiU-temp_audio.pcm) for song (tbhxSeaiMiU).

[Tue, 26 Nov 2024 14:14:42 GMT] Audio has finished playing.

[Tue, 26 Nov 2024 14:16:14 GMT] Cleared temp folder (./src/temp).

[Tue, 26 Nov 2024 14:16:21 GMT] Created buffer file (./src/temp/tbhxSeaiMiU-temp_audio.pcm) for song (tbhxSeaiMiU).

[Tue, 26 Nov 2024 14:16:21 GMT] Audio is now buffering!

[Tue, 26 Nov 2024 14:16:21 GMT] Audio is now playing!

[Tue, 26 Nov 2024 14:16:42 GMT] Created buffer file (./src/archive/2f_WdJeBEDg-temp_audio.pcm) for song (2f_WdJeBEDg).

[Tue, 26 Nov 2024 14:16:53 GMT] Updated volume for guild (1221985499158286366): 70% -> 10%

[Tue, 26 Nov 2024 14:16:58 GMT] Removed temp audio file (./src/temp/tbhxSeaiMiU-temp_audio.pcm)

[Tue, 26 Nov 2024 14:17:02 GMT] Created buffer file (./src/temp/2f_WdJeBEDg-temp_audio.pcm) for song (2f_WdJeBEDg).

[Tue, 26 Nov 2024 14:17:02 GMT] Audio is now buffering!

[Tue, 26 Nov 2024 14:17:02 GMT] Audio is now playing!

[Tue, 26 Nov 2024 14:18:45 GMT] Cleared temp folder (./src/temp).

[Tue, 26 Nov 2024 14:19:26 GMT] Created buffer file (./src/temp/PbiWPUxGygs-temp_audio.pcm) for song (PbiWPUxGygs).

[Tue, 26 Nov 2024 14:19:26 GMT] Audio is now buffering!

[Tue, 26 Nov 2024 14:19:26 GMT] Audio is now playing!

[Tue, 26 Nov 2024 14:19:44 GMT] Updated volume for guild (1221985499158286366): 10% -> 80%

[Tue, 26 Nov 2024 14:21:11 GMT] Cleared temp folder (./src/temp).

[Tue, 26 Nov 2024 14:21:22 GMT] Created buffer file (./src/temp/LjkDor2LenI-temp_audio.pcm) for song (LjkDor2LenI).

[Tue, 26 Nov 2024 14:21:22 GMT] Audio is now buffering!

[Tue, 26 Nov 2024 14:21:22 GMT] Audio is now playing!

[Tue, 26 Nov 2024 14:21:34 GMT] Updated volume for guild (1221985499158286366): 80% -> 10%

[Tue, 26 Nov 2024 14:22:12 GMT] Removed temp audio file (./src/temp/LjkDor2LenI-temp_audio.pcm)

[Tue, 26 Nov 2024 14:22:16 GMT] Created buffer file (./src/temp/PbiWPUxGygs-temp_audio.pcm) for song (PbiWPUxGygs).

[Tue, 26 Nov 2024 14:22:16 GMT] Audio is now buffering!

[Tue, 26 Nov 2024 14:22:16 GMT] Audio is now playing!

[Tue, 26 Nov 2024 14:24:44 GMT] Cleared temp folder (./src/temp).

[Tue, 26 Nov 2024 14:25:06 GMT] Created buffer file (./src/temp/LjkDor2LenI-temp_audio.pcm) for song (LjkDor2LenI).

[Tue, 26 Nov 2024 14:25:06 GMT] Audio is now buffering!

[Tue, 26 Nov 2024 14:25:06 GMT] Audio is now playing!

[Tue, 26 Nov 2024 14:25:14 GMT] Updated volume for guild (1221985499158286366): 10% -> 70%

[Tue, 26 Nov 2024 14:25:21 GMT] Cleared the queue for bot (1310116919403216997).

[Tue, 26 Nov 2024 14:26:25 GMT] Cleared temp folder (./src/temp).

[Tue, 26 Nov 2024 14:26:36 GMT] Created buffer file (./src/temp/LjkDor2LenI-temp_audio.pcm) for song (LjkDor2LenI).

[Tue, 26 Nov 2024 14:26:36 GMT] Audio is now buffering!

[Tue, 26 Nov 2024 14:26:36 GMT] Audio is now playing!

[Tue, 26 Nov 2024 14:26:49 GMT] Cleared the queue for bot (1310116919403216997).

[Tue, 26 Nov 2024 14:26:49 GMT] Audio has finished playing.

[Tue, 26 Nov 2024 14:29:05 GMT] Added song (KpkHydjPgZg).

[Tue, 26 Nov 2024 14:29:09 GMT] Created buffer file (./src/archive/KpkHydjPgZg-temp_audio.pcm) for song (KpkHydjPgZg).

[Tue, 26 Nov 2024 14:29:13 GMT] Created buffer file (./src/temp/KpkHydjPgZg-temp_audio.pcm) for song (KpkHydjPgZg).

[Tue, 26 Nov 2024 14:29:13 GMT] Audio is now buffering!

