Start of debug log: Tue, 07 Jan 2025 09:23:57 GMT
[Tue, 07 Jan 2025 09:32:46 GMT] Copied buffer file (./src/temp/Z99r74EMWP8-temp_audio.pcm) to archive folder.

[Tue, 07 Jan 2025 09:32:46 GMT] Created buffer file (./src/temp/fCeiUX59_FM-temp_audio.pcm) for song (fCeiUX59_FM).

[Tue, 07 Jan 2025 09:32:46 GMT] Copied buffer file (./src/temp/fCeiUX59_FM-temp_audio.pcm) to archive folder.

[Tue, 07 Jan 2025 09:32:46 GMT] Audio is now playing!

[Tue, 07 Jan 2025 09:34:40 GMT] Updated channelId for guild (1221985499158286366): 1221985499158286369 -> 1322058498808352889

[Tue, 07 Jan 2025 09:34:56 GMT] Created audio stream for song (fCeiUX59_FM).

[Tue, 07 Jan 2025 09:34:56 GMT] Audio is now buffering!

[Tue, 07 Jan 2025 09:34:56 GMT] Audio is now playing!

[Tue, 07 Jan 2025 09:35:11 GMT] Updated channelId for guild (1221985499158286366): 1322058498808352889 -> 1221985499158286369

[Tue, 07 Jan 2025 09:36:24 GMT] Cleared temp folder (./src/temp).

[Tue, 07 Jan 2025 09:53:22 GMT] Created audio stream for song (Z99r74EMWP8).

[Tue, 07 Jan 2025 09:53:23 GMT] Audio is now buffering!

[Tue, 07 Jan 2025 09:53:23 GMT] Audio is now playing!

[Tue, 07 Jan 2025 09:53:39 GMT] Created audio stream for song (fCeiUX59_FM).

[Tue, 07 Jan 2025 09:53:39 GMT] Audio is now buffering!

[Tue, 07 Jan 2025 09:53:40 GMT] Audio is now playing!

[Tue, 07 Jan 2025 09:53:41 GMT] Added song (BMaT2nGaEVg).

[Tue, 07 Jan 2025 09:53:43 GMT] Removed song (BMaT2nGaEVg).

[Tue, 07 Jan 2025 09:53:46 GMT] Creating buffer file for song (BMaT2nGaEVg).

[Tue, 07 Jan 2025 09:53:47 GMT] Created buffer file (./src/temp/BMaT2nGaEVg-temp_audio.pcm) for song (BMaT2nGaEVg).

[Tue, 07 Jan 2025 09:53:47 GMT] Copied buffer file (./src/temp/BMaT2nGaEVg-temp_audio.pcm) to archive folder.

[Tue, 07 Jan 2025 09:53:48 GMT] Creating buffer file for song (BMaT2nGaEVg).

[Tue, 07 Jan 2025 09:53:50 GMT] Created audio stream for song (BMaT2nGaEVg).

[Tue, 07 Jan 2025 09:53:50 GMT] Audio is now buffering!

[Tue, 07 Jan 2025 09:53:50 GMT] Created buffer file (./src/temp/BMaT2nGaEVg-temp_audio.pcm) for song (BMaT2nGaEVg).

[Tue, 07 Jan 2025 09:53:50 GMT] Copied buffer file (./src/temp/BMaT2nGaEVg-temp_audio.pcm) to archive folder.

[Tue, 07 Jan 2025 09:53:50 GMT] Audio is now playing!

[Tue, 07 Jan 2025 09:53:52 GMT] Added song (IIsWmB28AdM).

[Tue, 07 Jan 2025 09:53:56 GMT] Creating buffer file for song (IIsWmB28AdM).

[Tue, 07 Jan 2025 09:53:57 GMT] Created buffer file (./src/temp/IIsWmB28AdM-temp_audio.pcm) for song (IIsWmB28AdM).

[Tue, 07 Jan 2025 09:53:57 GMT] Copied buffer file (./src/temp/IIsWmB28AdM-temp_audio.pcm) to archive folder.

[Tue, 07 Jan 2025 09:57:11 GMT] Removed temp audio file (./src/temp/BMaT2nGaEVg-temp_audio.pcm)

[Tue, 07 Jan 2025 09:57:12 GMT] Created audio stream for song (IIsWmB28AdM).

[Tue, 07 Jan 2025 09:57:12 GMT] Audio is now buffering!

[Tue, 07 Jan 2025 09:57:12 GMT] Audio is now playing!

[Tue, 07 Jan 2025 09:57:14 GMT] Added song (iLhGzrecpQ4).

[Tue, 07 Jan 2025 09:57:18 GMT] Creating buffer file for song (iLhGzrecpQ4).

[Tue, 07 Jan 2025 09:57:19 GMT] Created buffer file (./src/temp/iLhGzrecpQ4-temp_audio.pcm) for song (iLhGzrecpQ4).

[Tue, 07 Jan 2025 09:57:19 GMT] Copied buffer file (./src/temp/iLhGzrecpQ4-temp_audio.pcm) to archive folder.

[Tue, 07 Jan 2025 09:57:57 GMT] Removed temp audio file (./src/temp/IIsWmB28AdM-temp_audio.pcm)

[Tue, 07 Jan 2025 09:57:58 GMT] Created audio stream for song (iLhGzrecpQ4).

[Tue, 07 Jan 2025 09:57:58 GMT] Audio is now buffering!

[Tue, 07 Jan 2025 09:57:58 GMT] Audio is now playing!

[Tue, 07 Jan 2025 09:58:00 GMT] Added song (FrARlI83tjA).

[Tue, 07 Jan 2025 09:58:04 GMT] Creating buffer file for song (FrARlI83tjA).

[Tue, 07 Jan 2025 09:58:06 GMT] Created buffer file (./src/temp/FrARlI83tjA-temp_audio.pcm) for song (FrARlI83tjA).

[Tue, 07 Jan 2025 09:58:06 GMT] Copied buffer file (./src/temp/FrARlI83tjA-temp_audio.pcm) to archive folder.

[Tue, 07 Jan 2025 09:59:28 GMT] Cleared temp folder (./src/temp).

[Tue, 07 Jan 2025 09:59:28 GMT] Cleared the queue for bot (1310116919403216997).

